GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 00000,United States, ,CAINC5N,90.0,113-814,  Private nonfarm earnings ,Thousands of dollars,5711094000,5786475000,5946426000,6294333000,6603144000,7039086000,7298321000,7370674000,7011475000,7287119000,7673276000,8082192000,8330798000,8741061000,9128259000,9373842000,9856239000,10387588000,10879665000,10979521000,12069883000,12923097000,13640723000
 00000,United States, ,CAINC5N,100.0,113-115,"   Forestry, fishing, and related activities ",Thousands of dollars,20357000,20108000,20437000,22128000,22179000,24612000,21737000,21098000,20931000,25364000,24568000,27516000,27909000,29253000,32295000,33481000,33755000,35467000,35931000,40533000,38972000,39393000,45016000
 00000,United States, ,CAINC5N,101.0,113,    Forestry and logging ,Thousands of dollars,5908000,5722000,5686000,6050000,6013000,6363000,5107000,4675000,4179000,5658000,5189000,5800000,5742000,5909000,6572000,6517000,6213000,6450000,6300000,7284000,6692000,6628000,7873000
 00000,United States, ,CAINC5N,102.0,114,"    Fishing, hunting and trapping ",Thousands of dollars,1939000,1856000,1869000,1923000,1973000,2155000,1650000,1514000,1399000,2140000,1968000,2219000,2106000,2062000,2320000,2368000,2341000,2455000,2386000,2731000,2507000,2389000,2914000
 00000,United States, ,CAINC5N,103.0,115,    Support activities for agriculture and forestry ,Thousands of dollars,12510000,12530000,12882000,14155000,14193000,16094000,14980000,14909000,15353000,17566000,17411000,19497000,20061000,21282000,23403000,24596000,25201000,26562000,27245000,30518000,29773000,30376000,34229000
 00000,United States, ,CAINC5N,200.0,21,"   Mining, quarrying, and oil and gas extraction ",Thousands of dollars,58349000,56372000,63705000,72534000,90842000,107608000,97109000,151272000,98746000,113991000,152945000,164557000,177211000,195362000,126580000,93532000,130608000,163933000,159467000,113957000,134874000,191049000,186855000
 00000,United States, ,CAINC5N,201.0,211,    Oil and gas extraction ,Thousands of dollars,32728000,32408000,39246000,45101000,58868000,68533000,54404000,101708000,57585000,69122000,96905000,103151000,115223000,128330000,70498000,51890000,79858000,99697000,96690000,63439000,86182000,128690000,116075000
 00000,United States, ,CAINC5N,202.0,212,    Mining (except oil and gas) ,Thousands of dollars,14334000,13660000,13469000,14725000,15947000,17587000,17718000,19068000,17752000,18891000,22249000,22504000,20985000,20544000,19490000,17781000,20184000,22639000,21504000,22131000,21985000,24838000,27575000
 00000,United States, ,CAINC5N,203.0,213,    Support activities for mining ,Thousands of dollars,11287000,10304000,10990000,12708000,16027000,21488000,24987000,30496000,23409000,25978000,33791000,38902000,41003000,46488000,36592000,23861000,30566000,41597000,41273000,28387000,26707000,37521000,43205000
 00000,United States, ,CAINC5N,300.0,22,   Utilities ,Thousands of dollars,57348000,57371000,56832000,60684000,60094000,67582000,67504000,75109000,70682000,71867000,76815000,74701000,78179000,82979000,86945000,87773000,96735000,109122000,112773000,123112000,128849000,126481000,127704000
 00000,United States, ,CAINC5N,400.0,23,   Construction ,Thousands of dollars,452000000,462279000,480065000,514336000,549819000,599619000,592405000,548343000,481885000,486510000,495613000,525962000,550035000,594217000,637174000,666481000,712566000,752084000,807265000,805667000,851111000,920984000,983567000
 00000,United States, ,CAINC5N,401.0,236,    Construction of buildings ,Thousands of dollars,121266000,128275000,134490000,145106000,156466000,170709000,164378000,147692000,128405000,130997000,132327000,139995000,145945000,157940000,170070000,178327000,190804000,200588000,214811000,214379000,226669000,247809000,264541000
 00000,United States, ,CAINC5N,402.0,237,    Heavy and civil engineering construction ,Thousands of dollars,55302000,56350000,56716000,59457000,63920000,69753000,72686000,72730000,65737000,64780000,66879000,71861000,74755000,80741000,85349000,87404000,94407000,101595000,108938000,108732000,112934000,120341000,128875000
 00000,United States, ,CAINC5N,403.0,238,    Specialty trade contractors ,Thousands of dollars,275432000,277654000,288859000,309773000,329433000,359157000,355341000,327921000,287743000,290733000,296407000,314106000,329335000,355536000,381755000,400750000,427355000,449901000,483516000,482556000,511508000,552834000,590151000
 00000,United States, ,CAINC5N,500.0,31-33,   Manufacturing ,Thousands of dollars,906800000,874791000,873076000,906104000,926175000,959317000,977491000,970428000,865077000,877369000,924939000,962023000,976377000,1015980000,1058238000,1051003000,1095903000,1146694000,1178041000,1178900000,1246340000,1355515000,1422726000
 00000,United States, ,CAINC5N,510.0,"321,327-339",    Durable goods manufacturing ,Thousands of dollars,591796000,566034000,560522000,585023000,601583000,627870000,638301000,625839000,543495000,553494000,587809000,615417000,626985000,648567000,673094000,678027000,708967000,746327000,763561000,756759000,806252000,860061000,907365000
 00000,United States, ,CAINC5N,511.0,321,     Wood product manufacturing ,Thousands of dollars,22307000,22114000,22525000,24486000,25962000,25845000,24230000,21638000,16846000,16565000,17175000,17874000,19517000,21205000,22674000,23659000,24524000,25485000,26633000,28324000,31879000,36319000,36915000
 00000,United States, ,CAINC5N,512.0,327,     Nonmetallic mineral product manufacturing ,Thousands of dollars,26655000,26702000,26677000,27551000,29079000,30249000,30355000,28712000,23116000,22456000,23055000,23857000,24594000,26143000,28359000,29190000,30577000,32235000,32999000,33989000,35340000,36922000,39488000
 00000,United States, ,CAINC5N,513.0,331,     Primary metal manufacturing ,Thousands of dollars,31473000,29538000,28563000,30618000,31334000,32682000,33212000,34719000,24999000,26590000,30543000,31416000,30348000,31305000,31077000,29577000,31656000,34641000,35260000,32153000,37909000,42401000,44631000
 00000,United States, ,CAINC5N,514.0,332,     Fabricated metal product manufacturing ,Thousands of dollars,78922000,75828000,74971000,78991000,83125000,87995000,90430000,92604000,78605000,79642000,86238000,92773000,93855000,98144000,99491000,98359000,102052000,108322000,110504000,108371000,112163000,121418000,128727000
 00000,United States, ,CAINC5N,515.0,333,     Machinery manufacturing ,Thousands of dollars,78159000,73507000,71138000,73295000,77318000,81092000,84091000,85857000,77654000,77508000,83868000,88213000,90858000,94377000,95508000,90939000,95458000,101880000,104466000,99338000,104727000,112342000,119434000
 00000,United States, ,CAINC5N,516.0,334,     Computer and electronic product manufacturing ,Thousands of dollars,135163000,120593000,115575000,119443000,122606000,129132000,132805000,127974000,116751000,121926000,125120000,130240000,127374000,130197000,135831000,142676000,151517000,157314000,161397000,171360000,185572000,186732000,196952000
 00000,United States, ,CAINC5N,517.0,335,"     Electrical equipment, appliance, and component manufacturing ",Thousands of dollars,30160000,28267000,27839000,28475000,29132000,30133000,30475000,31137000,28830000,29576000,30997000,32231000,33354000,33893000,35399000,35645000,37033000,38287000,39001000,38125000,40261000,42631000,45666000
 00000,United States, ,CAINC5N,518.0,3361-3363,"     Motor vehicles, bodies and trailers, and parts manufacturing ",Thousands of dollars,73788000,74750000,76678000,77497000,76586000,76821000,73624000,63348000,47198000,48913000,54775000,59414000,62210000,65894000,71648000,73646000,76905000,81372000,82082000,74900000,82716000,91552000,95942000
 00000,United States, ,CAINC5N,519.0,"3364-3466,3369",     Other transportation equipment manufacturing ,Thousands of dollars,51075000,50910000,51090000,56064000,57107000,61672000,65560000,66284000,64474000,65563000,70466000,73061000,75747000,75209000,77829000,76707000,78606000,82862000,87377000,84502000,84409000,91686000,99372000
 00000,United States, ,CAINC5N,521.0,337,     Furniture and related product manufacturing ,Thousands of dollars,24158000,23545000,23323000,24311000,24508000,24951000,24475000,23087000,18109000,17221000,17468000,17709000,18624000,19735000,21423000,22102000,23123000,23679000,23319000,23451000,25241000,26316000,26072000
 00000,United States, ,CAINC5N,522.0,339,     Miscellaneous manufacturing ,Thousands of dollars,39936000,40280000,42143000,44292000,44826000,47298000,49044000,50479000,46913000,47534000,48104000,48629000,50504000,52465000,53855000,55527000,57516000,60250000,60523000,62246000,66035000,71742000,74166000
 00000,United States, ,CAINC5N,530.0,"311-316,322-326",    Nondurable goods manufacturing ,Thousands of dollars,315004000,308757000,312554000,321081000,324592000,331447000,339190000,344589000,321582000,323875000,337130000,346606000,349392000,367413000,385144000,372976000,386936000,400367000,414480000,422141000,440088000,495454000,515361000
 00000,United States, ,CAINC5N,531.0,311,     Food manufacturing ,Thousands of dollars,62205000,64616000,67075000,68243000,68918000,69799000,73035000,75018000,76278000,78009000,78512000,82289000,83680000,89073000,93081000,95887000,100428000,103312000,106428000,114350000,121256000,130464000,136008000
 00000,United States, ,CAINC5N,532.0,312,     Beverage and tobacco product manufacturing ,Thousands of dollars,13928000,14057000,14091000,14291000,14356000,14310000,15096000,16321000,15053000,15640000,15376000,16420000,16662000,18204000,18976000,21228000,21564000,19763000,20146000,21982000,24450000,25540000,26229000
 00000,United States, ,CAINC5N,533.0,313,     Textile mills ,Thousands of dollars,11956000,11142000,10270000,9919000,9103000,8406000,7864000,7155000,5655000,5847000,5913000,6165000,6281000,6682000,6528000,6391000,6385000,6503000,6406000,6112000,6436000,6632000,6428000
